event_id,date,event_type,severity_index,patient_volume_spike,top_clinical_categories,critical_supplies_depleted
EVT-0029,2021-11-30,Flu Season,6,49,"[""Respiratory"", ""Influenza"", ""Pneumonia"", ""Pediatric""]","[""N95 Masks"", ""Tamiflu"", ""IV Saline"", ""Oxygen Supplies""]"
EVT-0004,2021-12-15,Snowstorm,8,31,"[""Trauma"", ""Orthopedic Trauma"", ""Hypothermia"", ""MVA Injuries""]","[""Advanced Trauma Kit"", ""Lactated Ringer's 1L"", ""Chest Seal"", ""Splints"", ""Oxygen Tanks""]"
EVT-0030,2022-01-15,Flu Season,8,45,"[""Respiratory"", ""Influenza"", ""Pneumonia"", ""Pediatric""]","[""N95 Masks"", ""Tamiflu"", ""IV Saline"", ""Oxygen Supplies""]"
EVT-0005,2022-01-25,Snowstorm,9,42,"[""Trauma"", ""Orthopedic Trauma"", ""Hypothermia"", ""MVA Injuries""]","[""Advanced Trauma Kit"", ""Lactated Ringer's 1L"", ""Chest Seal"", ""Splints"", ""Oxygen Tanks""]"
EVT-0006,2022-02-28,Snowstorm,9,39,"[""Trauma"", ""Orthopedic Trauma"", ""Hypothermia"", ""MVA Injuries""]","[""Advanced Trauma Kit"", ""Lactated Ringer's 1L"", ""Chest Seal"", ""Splints"", ""Oxygen Tanks""]"
EVT-0015,2022-07-10,Heatwave,7,29,"[""Dehydration"", ""Heat Stroke"", ""Cardiac Events"", ""Elderly Care""]","[""IV Saline"", ""Cooling Blankets"", ""Electrolyte Solutions"", ""Cardiac Medications""]"
EVT-0022,2022-11-20,FIFA Match,7,30,"[""Alcohol Poisoning"", ""Minor Injuries"", ""Intoxication"", ""Assault""]","[""IV Saline"", ""Activated Charcoal"", ""Suture Kits"", ""Pain Management""]"
EVT-0031,2022-12-10,Flu Season,7,41,"[""Respiratory"", ""Influenza"", ""Pneumonia"", ""Pediatric""]","[""N95 Masks"", ""Tamiflu"", ""IV Saline"", ""Oxygen Supplies""]"
EVT-0007,2023-01-18,Snowstorm,8,31,"[""Trauma"", ""Orthopedic Trauma"", ""Hypothermia"", ""MVA Injuries""]","[""Advanced Trauma Kit"", ""Lactated Ringer's 1L"", ""Chest Seal"", ""Splints"", ""Oxygen Tanks""]"
EVT-0032,2023-01-28,Flu Season,8,50,"[""Respiratory"", ""Influenza"", ""Pneumonia"", ""Pediatric""]","[""N95 Masks"", ""Tamiflu"", ""IV Saline"", ""Oxygen Supplies""]"
EVT-0023,2023-02-12,Super Bowl,7,15,"[""Alcohol Poisoning"", ""Minor Injuries"", ""Intoxication"", ""Assault""]","[""IV Saline"", ""Activated Charcoal"", ""Suture Kits"", ""Pain Management""]"
EVT-0016,2023-06-25,Heatwave,8,38,"[""Dehydration"", ""Heat Stroke"", ""Cardiac Events"", ""Elderly Care""]","[""IV Saline"", ""Cooling Blankets"", ""Electrolyte Solutions"", ""Cardiac Medications""]"
EVT-0017,2023-08-18,Heatwave,7,26,"[""Dehydration"", ""Heat Stroke"", ""Cardiac Events"", ""Elderly Care""]","[""IV Saline"", ""Cooling Blankets"", ""Electrolyte Solutions"", ""Cardiac Medications""]"
EVT-0033,2023-12-05,Flu Season,8,39,"[""Respiratory"", ""Influenza"", ""Pneumonia"", ""Pediatric""]","[""N95 Masks"", ""Tamiflu"", ""IV Saline"", ""Oxygen Supplies""]"
EVT-0008,2023-12-10,Snowstorm,7,38,"[""Trauma"", ""Orthopedic Trauma"", ""Hypothermia"", ""MVA Injuries""]","[""Advanced Trauma Kit"", ""Lactated Ringer's 1L"", ""Chest Seal"", ""Splints"", ""Oxygen Tanks""]"
EVT-0034,2024-01-22,Flu Season,5,47,"[""Respiratory"", ""Influenza"", ""Pneumonia"", ""Pediatric""]","[""N95 Masks"", ""Tamiflu"", ""IV Saline"", ""Oxygen Supplies""]"
EVT-0009,2024-02-05,Snowstorm,9,33,"[""Trauma"", ""Orthopedic Trauma"", ""Hypothermia"", ""MVA Injuries""]","[""Advanced Trauma Kit"", ""Lactated Ringer's 1L"", ""Chest Seal"", ""Splints"", ""Oxygen Tanks""]"
EVT-0024,2024-07-14,World Cup,7,18,"[""Alcohol Poisoning"", ""Minor Injuries"", ""Intoxication"", ""Assault""]","[""IV Saline"", ""Activated Charcoal"", ""Suture Kits"", ""Pain Management""]"
EVT-0018,2024-07-15,Heatwave,8,24,"[""Dehydration"", ""Heat Stroke"", ""Cardiac Events"", ""Elderly Care""]","[""IV Saline"", ""Cooling Blankets"", ""Electrolyte Solutions"", ""Cardiac Medications""]"
EVT-0019,2024-08-20,Heatwave,7,29,"[""Dehydration"", ""Heat Stroke"", ""Cardiac Events"", ""Elderly Care""]","[""IV Saline"", ""Cooling Blankets"", ""Electrolyte Solutions"", ""Cardiac Medications""]"
EVT-0025,2024-11-24,FIFA Match,10,26,"[""Alcohol Poisoning"", ""Minor Injuries"", ""Intoxication"", ""Assault""]","[""IV Saline"", ""Activated Charcoal"", ""Suture Kits"", ""Pain Management""]"
EVT-0035,2024-12-18,Flu Season,5,36,"[""Respiratory"", ""Influenza"", ""Pneumonia"", ""Pediatric""]","[""N95 Masks"", ""Tamiflu"", ""IV Saline"", ""Oxygen Supplies""]"
EVT-0010,2024-12-22,Snowstorm,9,28,"[""Trauma"", ""Orthopedic Trauma"", ""Hypothermia"", ""MVA Injuries""]","[""Advanced Trauma Kit"", ""Lactated Ringer's 1L"", ""Chest Seal"", ""Splints"", ""Oxygen Tanks""]"
EVT-0011,2025-01-12,Snowstorm,7,39,"[""Trauma"", ""Orthopedic Trauma"", ""Hypothermia"", ""MVA Injuries""]","[""Advanced Trauma Kit"", ""Lactated Ringer's 1L"", ""Chest Seal"", ""Splints"", ""Oxygen Tanks""]"
