supplier_id,supplier_name,contract_type,item_sku,item_name,price_per_unit,lead_time_hours,reliability_score,min_order_qty,notes
SUP-EME-002,EmergiMed Supply,SPOT_MARKET,OR-KNEE-IMMOB,Knee Immobilizer,72.0,6,81,10,Emergency stock. High shipping fees. Expedited delivery available.
SUP-CAR-001,Cardinal Health,FIXED_AGREEMENT,GN-SUTURE-KIT,Laceration Tray (Sutures),18.0,48,99,50,Primary vendor. Bulk pricing applied. Auto-renew.
SUP-LOC-002,Local Ortho Source,SPOT_MARKET,GN-SUTURE-KIT,Laceration Tray (Sutures),22.5,24,93,20,Emergency stock. High shipping fees. Expedited delivery available.
SUP-QUI-002,QuickShip Medical,SPOT_MARKET,GN-SUTURE-KIT,Laceration Tray (Sutures),25.2,12,94,5,Emergency stock. High shipping fees. Expedited delivery available.
SUP-BAX-001,Baxter Healthcare,FIXED_AGREEMENT,IV-LR-1000,Lactated Ringer's 1L,2.5,72,96,100,Primary vendor. Bulk pricing applied. Auto-renew.
SUP-EME-002,EmergiMed Supply,SPOT_MARKET,IV-LR-1000,Lactated Ringer's 1L,4.0,6,81,20,Emergency stock. High shipping fees. Expedited delivery available.
SUP-BAX-001,Baxter Healthcare,FIXED_AGREEMENT,RX-MORPHINE,Morphine Sulfate (10mg/ml),4.5,48,98,100,Primary vendor. Bulk pricing applied. Auto-renew.
SUP-LOC-002,Local Ortho Source,SPOT_MARKET,RX-MORPHINE,Morphine Sulfate (10mg/ml),5.62,24,88,10,Emergency stock. High shipping fees. Expedited delivery available.
SUP-CAR-001,Cardinal Health,FIXED_AGREEMENT,RS-NEB-KIT,Nebulizer Kit (Mask+Tubing),2.75,48,97,50,Primary vendor. Bulk pricing applied. Auto-renew.
SUP-QUI-002,QuickShip Medical,SPOT_MARKET,RS-NEB-KIT,Nebulizer Kit (Mask+Tubing),3.85,12,94,5,Emergency stock. High shipping fees. Expedited delivery available.
SUP-EME-002,EmergiMed Supply,SPOT_MARKET,RS-NEB-KIT,Nebulizer Kit (Mask+Tubing),4.4,6,82,10,Emergency stock. High shipping fees. Expedited delivery available.
SUP-MED-001,Medline Corp,FIXED_AGREEMENT,RS-O2-MASK-NRB,Non-Rebreather Mask,3.1,72,96,50,Primary vendor. Bulk pricing applied. Auto-renew.
SUP-LOC-002,Local Ortho Source,SPOT_MARKET,RS-O2-MASK-NRB,Non-Rebreather Mask,3.88,24,93,5,Emergency stock. High shipping fees. Expedited delivery available.
SUP-BAX-001,Baxter Healthcare,FIXED_AGREEMENT,IV-NS-1000,Normal Saline 1L,2.2,72,96,50,Primary vendor. Bulk pricing applied. Auto-renew.
SUP-QUI-002,QuickShip Medical,SPOT_MARKET,IV-NS-1000,Normal Saline 1L,3.08,12,85,5,Emergency stock. High shipping fees. Expedited delivery available.
SUP-EME-002,EmergiMed Supply,SPOT_MARKET,IV-NS-1000,Normal Saline 1L,3.52,6,83,20,Emergency stock. High shipping fees. Expedited delivery available.
SUP-MED-001,Medline Corp,FIXED_AGREEMENT,RS-OXY-TANK-E,Oxygen Tank (Size E Refill),18.0,72,98,100,Primary vendor. Bulk pricing applied. Auto-renew.
SUP-QUI-002,QuickShip Medical,SPOT_MARKET,RS-OXY-TANK-E,Oxygen Tank (Size E Refill),25.2,12,87,5,Emergency stock. High shipping fees. Expedited delivery available.
SUP-NOR-001,North American Rescue,FIXED_AGREEMENT,TR-PELVIC-BIND,Pelvic Binder,65.0,48,99,10,Primary vendor. Bulk pricing applied. Auto-renew.
SUP-LOC-002,Local Ortho Source,SPOT_MARKET,TR-PELVIC-BIND,Pelvic Binder,81.25,24,90,10,Emergency stock. High shipping fees. Expedited delivery available.
SUP-QUI-002,QuickShip Medical,SPOT_MARKET,TR-PELVIC-BIND,Pelvic Binder,91.0,12,95,20,Emergency stock. High shipping fees. Expedited delivery available.
SUP-CAR-001,Cardinal Health,FIXED_AGREEMENT,OR-PLASTER-ROLL,Plaster Rolls (6 inch),8.5,48,97,500,Primary vendor. Bulk pricing applied. Auto-renew.
SUP-EME-002,EmergiMed Supply,SPOT_MARKET,OR-PLASTER-ROLL,Plaster Rolls (6 inch),13.6,6,86,20,Emergency stock. High shipping fees. Expedited delivery available.
SUP-NOR-001,North American Rescue,FIXED_AGREEMENT,TR-SPLINT-SAM,SAM Splint (36 inch),14.0,48,97,100,Primary vendor. Bulk pricing applied. Auto-renew.
SUP-LOC-002,Local Ortho Source,SPOT_MARKET,TR-SPLINT-SAM,SAM Splint (36 inch),17.5,24,90,10,Emergency stock. High shipping fees. Expedited delivery available.
SUP-MED-001,Medline Corp,FIXED_AGREEMENT,OR-TENSOR-BAND,Tensor Bandage,4.25,48,97,50,Primary vendor. Bulk pricing applied. Auto-renew.
SUP-QUI-002,QuickShip Medical,SPOT_MARKET,OR-TENSOR-BAND,Tensor Bandage,5.95,12,87,20,Emergency stock. High shipping fees. Expedited delivery available.
SUP-EME-002,EmergiMed Supply,SPOT_MARKET,OR-TENSOR-BAND,Tensor Bandage,6.8,6,86,5,Emergency stock. High shipping fees. Expedited delivery available.
SUP-MED-001,Medline Corp,FIXED_AGREEMENT,GN-WARM-BLANKET,Warming Blanket (Bair Hugger),12.0,48,96,500,Primary vendor. Bulk pricing applied. Auto-renew.
SUP-LOC-002,Local Ortho Source,SPOT_MARKET,GN-WARM-BLANKET,Warming Blanket (Bair Hugger),15.0,24,91,20,Emergency stock. High shipping fees. Expedited delivery available.
SUP-BAX-001,Baxter Healthcare,FIXED_AGREEMENT,RX-TPA,tPA (Alteplase 100mg),6500.0,72,98,10,Primary vendor. Bulk pricing applied. Auto-renew.
SUP-LOC-002,Local Ortho Source,SPOT_MARKET,RX-TPA,tPA (Alteplase 100mg),8125.0,24,92,5,Emergency stock. High shipping fees. Expedited delivery available.
SUP-EME-002,EmergiMed Supply,SPOT_MARKET,RX-TPA,tPA (Alteplase 100mg),10400.0,6,80,5,Emergency stock. High shipping fees. Expedited delivery available.
