timestamp,date_str,time_str,hour_of_day,arrivals_last_hour,departures_last_hour,ambulance_arrivals,waiting_patients,patients_in_treatment,admitted_patients_boarding,md_count,nurse_count,clerk_count,bed_occupancy_pct,bed_saturation_index,longest_wait_time_min
2020-01-02 14:00:00,2020-01-02,14:00,14,21,13,0,19,53,8,8,10,4,132.5,1.59,191
2020-01-02 15:00:00,2020-01-02,15:00,15,9,10,2,0,51,6,10,15,5,127.5,1.53,0
2020-01-02 16:00:00,2020-01-02,16:00,16,9,14,2,0,60,15,10,13,5,150.0,1.8,0
2020-01-02 17:00:00,2020-01-02,17:00,17,18,18,6,4,53,8,10,13,5,132.5,1.59,44
2020-01-02 18:00:00,2020-01-02,18:00,18,15,16,2,0,52,7,10,15,5,130.0,1.56,0
2020-01-02 19:00:00,2020-01-02,19:00,19,21,20,5,5,57,12,9,13,5,142.5,1.71,46
2020-01-02 20:00:00,2020-01-02,20:00,20,21,22,3,1,57,12,9,14,5,142.5,1.71,8
2020-01-02 21:00:00,2020-01-02,21:00,21,19,17,5,9,58,13,9,13,5,145.0,1.74,94
2020-01-02 22:00:00,2020-01-02,22:00,22,21,19,4,5,53,8,10,14,5,132.5,1.59,40
2020-01-02 23:00:00,2020-01-02,23:00,23,5,7,1,0,37,7,4,6,2,92.5,1.11,0
2020-01-03 00:00:00,2020-01-03,00:00,0,11,8,3,11,45,15,4,6,2,112.5,1.35,123
2020-01-03 01:00:00,2020-01-03,01:00,1,15,9,2,13,37,7,4,6,2,92.5,1.11,133
2020-01-03 02:00:00,2020-01-03,02:00,2,2,1,0,2,14,2,4,4,2,35.0,0.42,23
2020-01-03 03:00:00,2020-01-03,03:00,3,4,2,1,9,17,5,3,6,2,42.5,0.51,84
2020-01-03 04:00:00,2020-01-03,04:00,4,6,7,0,0,17,5,4,5,2,42.5,0.51,0
2020-01-03 05:00:00,2020-01-03,05:00,5,2,2,0,5,12,0,4,4,2,30.0,0.36,47
2020-01-03 06:00:00,2020-01-03,06:00,6,4,5,0,0,17,5,4,5,2,42.5,0.51,0
2020-01-03 07:00:00,2020-01-03,07:00,7,5,10,1,0,42,12,7,12,4,105.0,1.26,0
2020-01-03 08:00:00,2020-01-03,08:00,8,13,16,3,0,53,8,7,11,4,132.5,1.59,0
2020-01-03 09:00:00,2020-01-03,09:00,9,18,18,0,2,53,8,8,12,4,132.5,1.59,21
2020-01-03 10:00:00,2020-01-03,10:00,10,13,17,0,0,59,14,8,12,4,147.5,1.77,0
2020-01-03 11:00:00,2020-01-03,11:00,11,22,19,6,10,60,15,8,11,4,150.0,1.8,102
2020-01-03 12:00:00,2020-01-03,12:00,12,18,19,2,2,52,7,8,11,4,130.0,1.56,19
2020-01-03 13:00:00,2020-01-03,13:00,13,21,13,1,20,58,13,8,12,4,145.0,1.74,200
2020-01-03 14:00:00,2020-01-03,14:00,14,21,19,6,8,50,5,8,10,4,125.0,1.5,80
2020-01-03 15:00:00,2020-01-03,15:00,15,21,20,5,6,60,15,10,14,5,150.0,1.8,71
2020-01-03 16:00:00,2020-01-03,16:00,16,13,12,4,5,52,7,9,15,5,130.0,1.56,40
2020-01-03 17:00:00,2020-01-03,17:00,17,21,16,5,10,50,5,10,15,5,125.0,1.5,104
2020-01-03 18:00:00,2020-01-03,18:00,18,9,14,2,0,54,9,9,13,5,135.0,1.62,0
2020-01-03 19:00:00,2020-01-03,19:00,19,22,18,6,12,59,14,9,15,5,147.5,1.77,142
2020-01-03 20:00:00,2020-01-03,20:00,20,9,12,1,0,52,7,10,15,5,130.0,1.56,0
2020-01-03 21:00:00,2020-01-03,21:00,21,7,5,1,7,58,13,10,15,5,145.0,1.74,82
2020-01-03 22:00:00,2020-01-03,22:00,22,16,14,3,7,57,12,9,14,5,142.5,1.71,68
2020-01-03 23:00:00,2020-01-03,23:00,23,12,6,1,15,39,9,4,4,2,97.5,1.17,130
2020-01-04 00:00:00,2020-01-04,00:00,0,10,8,3,7,40,10,4,4,2,100.0,1.2,71
2020-01-04 01:00:00,2020-01-04,01:00,1,5,4,0,3,42,12,4,4,2,105.0,1.26,26
2020-01-04 02:00:00,2020-01-04,02:00,2,5,6,0,0,12,0,4,6,2,30.0,0.36,0
2020-01-04 03:00:00,2020-01-04,03:00,3,4,7,0,0,15,3,4,6,2,37.5,0.45,0
2020-01-04 04:00:00,2020-01-04,04:00,4,3,6,1,0,17,5,4,5,2,42.5,0.51,0
2020-01-04 05:00:00,2020-01-04,05:00,5,2,2,0,0,17,5,4,6,2,42.5,0.51,0
2020-01-04 06:00:00,2020-01-04,06:00,6,4,7,1,0,12,0,4,6,2,30.0,0.36,0
2020-01-04 07:00:00,2020-01-04,07:00,7,8,9,0,3,41,11,8,12,4,102.5,1.23,26
2020-01-04 08:00:00,2020-01-04,08:00,8,22,19,2,6,53,8,8,12,4,132.5,1.59,64
2020-01-04 09:00:00,2020-01-04,09:00,9,18,16,3,6,55,10,7,12,4,137.5,1.65,53
2020-01-04 10:00:00,2020-01-04,10:00,10,10,12,1,0,56,11,8,10,4,140.0,1.68,0
2020-01-04 11:00:00,2020-01-04,11:00,11,12,10,0,5,59,14,7,11,4,147.5,1.77,40
2020-01-04 12:00:00,2020-01-04,12:00,12,16,12,3,10,54,9,7,11,4,135.0,1.62,102
2020-01-04 13:00:00,2020-01-04,13:00,13,12,13,1,3,52,7,8,11,4,130.0,1.56,26
2020-01-04 14:00:00,2020-01-04,14:00,14,16,14,1,4,51,6,8,12,4,127.5,1.53,36
2020-01-04 15:00:00,2020-01-04,15:00,15,18,18,6,0,52,7,9,15,5,130.0,1.56,0
2020-01-04 16:00:00,2020-01-04,16:00,16,9,9,0,3,52,7,9,14,5,130.0,1.56,31
2020-01-04 17:00:00,2020-01-04,17:00,17,21,24,0,0,59,14,10,13,5,147.5,1.77,0
2020-01-04 18:00:00,2020-01-04,18:00,18,19,17,0,8,55,10,10,15,5,137.5,1.65,93
2020-01-04 19:00:00,2020-01-04,19:00,19,9,13,3,0,56,11,10,15,5,140.0,1.68,0
2020-01-04 20:00:00,2020-01-04,20:00,20,18,17,1,5,57,12,9,15,5,142.5,1.71,54
2020-01-04 21:00:00,2020-01-04,21:00,21,10,10,0,0,53,8,9,14,5,132.5,1.59,0
2020-01-04 22:00:00,2020-01-04,22:00,22,18,18,5,0,55,10,10,13,5,137.5,1.65,0
2020-01-04 23:00:00,2020-01-04,23:00,23,8,4,2,10,45,15,3,5,2,112.5,1.35,94
2020-01-05 00:00:00,2020-01-05,00:00,0,5,5,1,2,44,14,4,6,2,110.0,1.32,22
2020-01-05 01:00:00,2020-01-05,01:00,1,9,6,1,8,40,10,4,5,2,100.0,1.2,79
2020-01-05 02:00:00,2020-01-05,02:00,2,2,2,0,0,16,4,3,6,2,40.0,0.48,0
2020-01-05 03:00:00,2020-01-05,03:00,3,4,3,0,2,16,4,4,4,2,40.0,0.48,23
2020-01-05 04:00:00,2020-01-05,04:00,4,2,5,0,0,15,3,3,5,2,37.5,0.45,0
2020-01-05 05:00:00,2020-01-05,05:00,5,2,1,0,5,17,5,4,5,2,42.5,0.51,58
2020-01-05 06:00:00,2020-01-05,06:00,6,4,7,0,0,14,2,4,6,2,35.0,0.42,0
2020-01-05 07:00:00,2020-01-05,07:00,7,12,15,3,0,39,9,8,10,4,97.5,1.17,0
2020-01-05 08:00:00,2020-01-05,08:00,8,9,10,0,1,51,6,8,12,4,127.5,1.53,10
2020-01-05 09:00:00,2020-01-05,09:00,9,9,8,1,5,54,9,7,12,4,135.0,1.62,44
2020-01-05 10:00:00,2020-01-05,10:00,10,18,12,2,13,56,11,8,12,4,140.0,1.68,141
2020-01-05 11:00:00,2020-01-05,11:00,11,9,8,0,2,50,5,8,11,4,125.0,1.5,18
2020-01-05 12:00:00,2020-01-05,12:00,12,15,12,1,8,54,9,8,10,4,135.0,1.62,95
2020-01-05 13:00:00,2020-01-05,13:00,13,7,9,1,0,52,7,8,12,4,130.0,1.56,0
2020-01-05 14:00:00,2020-01-05,14:00,14,21,15,1,15,51,6,8,11,4,127.5,1.53,179
2020-01-05 15:00:00,2020-01-05,15:00,15,22,13,3,20,52,7,9,15,5,130.0,1.56,160
2020-01-05 16:00:00,2020-01-05,16:00,16,15,19,4,0,52,7,10,15,5,130.0,1.56,0
2020-01-05 17:00:00,2020-01-05,17:00,17,19,16,0,9,54,9,9,14,5,135.0,1.62,77
2020-01-05 18:00:00,2020-01-05,18:00,18,13,11,0,6,50,5,9,15,5,125.0,1.5,54
2020-01-05 19:00:00,2020-01-05,19:00,19,16,17,2,3,53,8,10,14,5,132.5,1.59,26
2020-01-05 20:00:00,2020-01-05,20:00,20,7,8,0,0,53,8,9,15,5,132.5,1.59,0
2020-01-05 21:00:00,2020-01-05,21:00,21,10,14,1,0,53,8,10,15,5,132.5,1.59,0
2020-01-05 22:00:00,2020-01-05,22:00,22,7,10,1,0,59,14,10,13,5,147.5,1.77,0
2020-01-05 23:00:00,2020-01-05,23:00,23,6,6,2,3,38,8,3,5,2,95.0,1.14,26
2020-01-06 00:00:00,2020-01-06,00:00,0,5,5,1,5,40,10,3,6,2,100.0,1.2,42
2020-01-06 01:00:00,2020-01-06,01:00,1,11,8,1,6,39,9,4,4,2,97.5,1.17,68
2020-01-06 02:00:00,2020-01-06,02:00,2,5,3,1,5,12,0,4,6,2,30.0,0.36,57
2020-01-06 03:00:00,2020-01-06,03:00,3,5,3,0,4,16,4,4,5,2,40.0,0.48,38
2020-01-06 04:00:00,2020-01-06,04:00,4,4,7,1,0,14,2,4,6,2,35.0,0.42,0
2020-01-06 05:00:00,2020-01-06,05:00,5,5,5,0,3,14,2,3,6,2,35.0,0.42,33
2020-01-06 06:00:00,2020-01-06,06:00,6,2,2,0,3,14,2,3,6,2,35.0,0.42,29
2020-01-06 07:00:00,2020-01-06,07:00,7,6,8,2,0,44,14,8,11,4,110.0,1.32,0
2020-01-06 08:00:00,2020-01-06,08:00,8,13,13,0,2,55,10,8,11,4,137.5,1.65,18
2020-01-06 09:00:00,2020-01-06,09:00,9,15,14,5,5,51,6,7,12,4,127.5,1.53,55
2020-01-06 10:00:00,2020-01-06,10:00,10,7,10,1,0,53,8,8,10,4,132.5,1.59,0
2020-01-06 11:00:00,2020-01-06,11:00,11,9,10,3,1,54,9,8,12,4,135.0,1.62,8
2020-01-06 12:00:00,2020-01-06,12:00,12,16,14,5,9,54,9,8,11,4,135.0,1.62,79
2020-01-06 13:00:00,2020-01-06,13:00,13,15,15,1,4,59,14,7,12,4,147.5,1.77,44
2020-01-06 14:00:00,2020-01-06,14:00,14,22,18,5,12,60,15,8,10,4,150.0,1.8,109
2020-01-06 15:00:00,2020-01-06,15:00,15,22,19,1,9,58,13,9,15,5,145.0,1.74,103
2020-01-06 16:00:00,2020-01-06,16:00,16,16,14,2,7,60,15,9,13,5,150.0,1.8,75
2020-01-06 17:00:00,2020-01-06,17:00,17,12,14,1,1,60,15,10,15,5,150.0,1.8,10
2020-01-06 18:00:00,2020-01-06,18:00,18,10,11,0,0,59,14,10,13,5,147.5,1.77,0
2020-01-06 19:00:00,2020-01-06,19:00,19,18,17,5,3,50,5,10,13,5,125.0,1.5,28
2020-01-06 20:00:00,2020-01-06,20:00,20,22,18,6,11,50,5,9,13,5,125.0,1.5,112
2020-01-06 21:00:00,2020-01-06,21:00,21,19,19,5,0,59,14,9,15,5,147.5,1.77,0
2020-01-06 22:00:00,2020-01-06,22:00,22,16,15,0,6,53,8,9,15,5,132.5,1.59,50
2020-01-06 23:00:00,2020-01-06,23:00,23,8,6,0,9,38,8,3,5,2,95.0,1.14,86
2020-01-07 00:00:00,2020-01-07,00:00,0,7,9,2,0,41,11,4,6,2,102.5,1.23,0
2020-01-07 01:00:00,2020-01-07,01:00,1,12,8,1,12,45,15,4,4,2,112.5,1.35,112
2020-01-07 02:00:00,2020-01-07,02:00,2,2,5,0,0,16,4,4,4,2,40.0,0.48,0
2020-01-07 03:00:00,2020-01-07,03:00,3,2,3,0,3,13,1,3,5,2,32.5,0.39,28
2020-01-07 04:00:00,2020-01-07,04:00,4,4,8,1,0,12,0,4,6,2,30.0,0.36,0
2020-01-07 05:00:00,2020-01-07,05:00,5,5,9,0,0,13,1,4,6,2,32.5,0.39,0
2020-01-07 06:00:00,2020-01-07,06:00,6,3,1,1,6,13,1,4,5,2,32.5,0.39,69
2020-01-07 07:00:00,2020-01-07,07:00,7,12,13,0,0,44,14,7,12,4,110.0,1.32,0
2020-01-07 08:00:00,2020-01-07,08:00,8,16,13,2,9,56,11,8,12,4,140.0,1.68,95
2020-01-07 09:00:00,2020-01-07,09:00,9,10,13,1,0,55,10,8,10,4,137.5,1.65,0
2020-01-07 10:00:00,2020-01-07,10:00,10,10,11,1,3,60,15,7,10,4,150.0,1.8,33
2020-01-07 11:00:00,2020-01-07,11:00,11,19,13,0,12,58,13,7,12,4,145.0,1.74,135
2020-01-07 12:00:00,2020-01-07,12:00,12,22,16,7,16,52,7,8,12,4,130.0,1.56,146
2020-01-07 13:00:00,2020-01-07,13:00,13,19,14,6,13,59,14,8,10,4,147.5,1.77,109
2020-01-07 14:00:00,2020-01-07,14:00,14,9,11,0,0,56,11,8,11,4,140.0,1.68,0
2020-01-07 15:00:00,2020-01-07,15:00,15,13,15,3,1,50,5,9,13,5,125.0,1.5,10
2020-01-07 16:00:00,2020-01-07,16:00,16,19,15,5,12,60,15,9,13,5,150.0,1.8,134
2020-01-07 17:00:00,2020-01-07,17:00,17,22,24,0,0,51,6,10,14,5,127.5,1.53,0
2020-01-07 18:00:00,2020-01-07,18:00,18,9,13,1,0,53,8,9,15,5,132.5,1.59,0
2020-01-07 19:00:00,2020-01-07,19:00,19,21,16,7,11,52,7,10,14,5,130.0,1.56,98
2020-01-07 20:00:00,2020-01-07,20:00,20,16,15,4,6,59,14,9,15,5,147.5,1.77,63
2020-01-07 21:00:00,2020-01-07,21:00,21,18,19,5,0,57,12,10,15,5,142.5,1.71,0
2020-01-07 22:00:00,2020-01-07,22:00,22,18,17,1,6,60,15,9,13,5,150.0,1.8,57
2020-01-07 23:00:00,2020-01-07,23:00,23,9,8,0,7,42,12,4,6,2,105.0,1.26,63
2020-01-08 00:00:00,2020-01-08,00:00,0,11,7,0,12,45,15,3,6,2,112.5,1.35,107
2020-01-08 01:00:00,2020-01-08,01:00,1,15,5,0,23,36,6,3,4,2,90.0,1.08,234
2020-01-08 02:00:00,2020-01-08,02:00,2,4,6,0,0,14,2,3,6,2,35.0,0.42,0
2020-01-08 03:00:00,2020-01-08,03:00,3,4,3,0,2,13,1,4,6,2,32.5,0.39,19
2020-01-08 04:00:00,2020-01-08,04:00,4,3,2,1,4,16,4,4,4,2,40.0,0.48,39
2020-01-08 05:00:00,2020-01-08,05:00,5,4,5,1,1,14,2,4,6,2,35.0,0.42,11
2020-01-08 06:00:00,2020-01-08,06:00,6,2,5,0,0,13,1,4,5,2,32.5,0.39,0
2020-01-08 07:00:00,2020-01-08,07:00,7,6,11,1,0,45,15,8,12,4,112.5,1.35,0
2020-01-08 08:00:00,2020-01-08,08:00,8,19,14,1,10,51,6,7,12,4,127.5,1.53,92
2020-01-08 09:00:00,2020-01-08,09:00,9,16,15,2,7,51,6,8,10,4,127.5,1.53,72
2020-01-08 10:00:00,2020-01-08,10:00,10,19,11,0,17,58,13,7,12,4,145.0,1.74,172
2020-01-08 11:00:00,2020-01-08,11:00,11,12,11,2,4,54,9,8,11,4,135.0,1.62,35
2020-01-08 12:00:00,2020-01-08,12:00,12,12,12,2,5,51,6,8,11,4,127.5,1.53,49
2020-01-08 13:00:00,2020-01-08,13:00,13,12,14,0,0,58,13,8,11,4,145.0,1.74,0
2020-01-08 14:00:00,2020-01-08,14:00,14,15,18,0,0,50,5,8,11,4,125.0,1.5,0
2020-01-08 15:00:00,2020-01-08,15:00,15,22,21,5,5,52,7,10,13,5,130.0,1.56,47
2020-01-08 16:00:00,2020-01-08,16:00,16,21,18,1,6,59,14,10,13,5,147.5,1.77,57
2020-01-08 17:00:00,2020-01-08,17:00,17,15,16,1,0,54,9,10,15,5,135.0,1.62,0
2020-01-08 18:00:00,2020-01-08,18:00,18,22,20,7,9,52,7,10,14,5,130.0,1.56,96
2020-01-08 19:00:00,2020-01-08,19:00,19,19,16,1,11,58,13,10,13,5,145.0,1.74,114
2020-01-08 20:00:00,2020-01-08,20:00,20,7,9,2,0,54,9,9,15,5,135.0,1.62,0
2020-01-08 21:00:00,2020-01-08,21:00,21,22,14,7,18,54,9,9,13,5,135.0,1.62,185
2020-01-08 22:00:00,2020-01-08,22:00,22,12,10,2,8,55,10,10,15,5,137.5,1.65,92
2020-01-08 23:00:00,2020-01-08,23:00,23,14,7,3,18,44,14,4,6,2,110.0,1.32,163
2020-01-09 00:00:00,2020-01-09,00:00,0,13,5,1,17,37,7,3,5,2,92.5,1.11,184
2020-01-09 01:00:00,2020-01-09,01:00,1,14,9,3,12,38,8,4,5,2,95.0,1.14,127
2020-01-09 02:00:00,2020-01-09,02:00,2,6,5,2,7,12,0,3,5,2,30.0,0.36,76
2020-01-09 03:00:00,2020-01-09,03:00,3,5,3,1,4,14,2,4,5,2,35.0,0.42,46
2020-01-09 04:00:00,2020-01-09,04:00,4,2,5,0,0,15,3,3,6,2,37.5,0.45,0
2020-01-09 05:00:00,2020-01-09,05:00,5,6,7,0,2,17,5,4,5,2,42.5,0.51,23
2020-01-09 06:00:00,2020-01-09,06:00,6,5,6,1,3,16,4,4,6,2,40.0,0.48,27
2020-01-09 07:00:00,2020-01-09,07:00,7,6,8,1,0,44,14,8,12,4,110.0,1.32,0
2020-01-09 08:00:00,2020-01-09,08:00,8,12,14,1,0,51,6,7,10,4,127.5,1.53,0
2020-01-09 09:00:00,2020-01-09,09:00,9,18,15,6,9,52,7,7,12,4,130.0,1.56,74
2020-01-09 10:00:00,2020-01-09,10:00,10,18,13,2,12,60,15,8,11,4,150.0,1.8,108
2020-01-09 11:00:00,2020-01-09,11:00,11,9,9,1,5,56,11,7,12,4,140.0,1.68,58
2020-01-09 12:00:00,2020-01-09,12:00,12,9,9,3,3,52,7,7,12,4,130.0,1.56,26
2020-01-09 13:00:00,2020-01-09,13:00,13,19,11,4,16,54,9,7,12,4,135.0,1.62,174
2020-01-09 14:00:00,2020-01-09,14:00,14,10,13,3,0,57,12,8,10,4,142.5,1.71,0
2020-01-09 15:00:00,2020-01-09,15:00,15,16,16,2,5,51,6,9,15,5,127.5,1.53,44
2020-01-09 16:00:00,2020-01-09,16:00,16,21,20,1,4,58,13,9,13,5,145.0,1.74,35
2020-01-09 17:00:00,2020-01-09,17:00,17,12,11,1,5,52,7,9,15,5,130.0,1.56,46
2020-01-09 18:00:00,2020-01-09,18:00,18,13,11,4,5,54,9,9,13,5,135.0,1.62,43
2020-01-09 19:00:00,2020-01-09,19:00,19,7,11,1,0,51,6,10,13,5,127.5,1.53,0
2020-01-09 20:00:00,2020-01-09,20:00,20,15,15,3,5,52,7,9,15,5,130.0,1.56,48
2020-01-09 21:00:00,2020-01-09,21:00,21,7,10,1,0,56,11,10,15,5,140.0,1.68,0
2020-01-09 22:00:00,2020-01-09,22:00,22,9,13,0,0,50,5,9,15,5,125.0,1.5,0
2020-01-09 23:00:00,2020-01-09,23:00,23,6,8,0,1,45,15,4,6,2,112.5,1.35,8
2020-01-10 00:00:00,2020-01-10,00:00,0,8,4,0,12,37,7,3,5,2,92.5,1.11,116
2020-01-10 01:00:00,2020-01-10,01:00,1,12,5,1,18,36,6,3,4,2,90.0,1.08,199
2020-01-10 02:00:00,2020-01-10,02:00,2,2,5,0,0,12,0,4,4,2,30.0,0.36,0
2020-01-10 03:00:00,2020-01-10,03:00,3,5,3,0,5,12,0,4,4,2,30.0,0.36,44
2020-01-10 04:00:00,2020-01-10,04:00,4,3,6,1,0,14,2,4,5,2,35.0,0.42,0
2020-01-10 05:00:00,2020-01-10,05:00,5,3,4,0,0,14,2,4,4,2,35.0,0.42,0
2020-01-10 06:00:00,2020-01-10,06:00,6,3,6,1,0,13,1,4,5,2,32.5,0.39,0
2020-01-10 07:00:00,2020-01-10,07:00,7,15,16,2,0,40,10,7,12,4,100.0,1.2,0
2020-01-10 08:00:00,2020-01-10,08:00,8,13,14,1,3,50,5,8,11,4,125.0,1.5,32
2020-01-10 09:00:00,2020-01-10,09:00,9,15,14,1,7,56,11,8,10,4,140.0,1.68,77
2020-01-10 10:00:00,2020-01-10,10:00,10,21,11,1,22,54,9,7,11,4,135.0,1.62,180
2020-01-10 11:00:00,2020-01-10,11:00,11,7,11,1,0,60,15,8,12,4,150.0,1.8,0
2020-01-10 12:00:00,2020-01-10,12:00,12,18,14,1,12,52,7,7,10,4,130.0,1.56,129
2020-01-10 13:00:00,2020-01-10,13:00,13,16,19,3,0,52,7,8,12,4,130.0,1.56,0
2020-01-10 14:00:00,2020-01-10,14:00,14,7,5,2,6,58,13,8,12,4,145.0,1.74,51
2020-01-10 15:00:00,2020-01-10,15:00,15,18,18,1,0,51,6,9,15,5,127.5,1.53,0
2020-01-10 16:00:00,2020-01-10,16:00,16,22,16,2,13,51,6,10,13,5,127.5,1.53,138
2020-01-10 17:00:00,2020-01-10,17:00,17,22,20,2,7,59,14,10,14,5,147.5,1.77,61
2020-01-10 18:00:00,2020-01-10,18:00,18,21,20,4,4,60,15,10,14,5,150.0,1.8,47
2020-01-10 19:00:00,2020-01-10,19:00,19,7,9,2,0,54,9,10,14,5,135.0,1.62,0
2020-01-10 20:00:00,2020-01-10,20:00,20,19,20,4,3,59,14,9,15,5,147.5,1.77,26
2020-01-10 21:00:00,2020-01-10,21:00,21,21,24,5,0,56,11,10,14,5,140.0,1.68,0
2020-01-10 22:00:00,2020-01-10,22:00,22,13,18,0,0,59,14,10,14,5,147.5,1.77,0
2020-01-10 23:00:00,2020-01-10,23:00,23,8,6,2,9,40,10,3,4,2,100.0,1.2,94
2020-01-11 00:00:00,2020-01-11,00:00,0,8,5,2,7,45,15,3,4,2,112.5,1.35,80
2020-01-11 01:00:00,2020-01-11,01:00,1,12,6,3,17,40,10,4,6,2,100.0,1.2,198
2020-01-11 02:00:00,2020-01-11,02:00,2,5,5,0,2,16,4,3,4,2,40.0,0.48,19
2020-01-11 03:00:00,2020-01-11,03:00,3,4,5,1,2,15,3,3,6,2,37.5,0.45,20
2020-01-11 04:00:00,2020-01-11,04:00,4,4,6,0,0,13,1,4,4,2,32.5,0.39,0
2020-01-11 05:00:00,2020-01-11,05:00,5,6,6,2,2,16,4,4,4,2,40.0,0.48,20
2020-01-11 06:00:00,2020-01-11,06:00,6,2,7,0,0,17,5,3,6,2,42.5,0.51,0
2020-01-11 07:00:00,2020-01-11,07:00,7,13,17,3,0,44,14,7,12,4,110.0,1.32,0
2020-01-11 08:00:00,2020-01-11,08:00,8,19,12,2,14,55,10,8,11,4,137.5,1.65,151
2020-01-11 09:00:00,2020-01-11,09:00,9,19,16,2,8,51,6,8,10,4,127.5,1.53,65
2020-01-11 10:00:00,2020-01-11,10:00,10,18,13,1,13,58,13,8,12,4,145.0,1.74,122
2020-01-11 11:00:00,2020-01-11,11:00,11,13,14,2,0,56,11,8,12,4,140.0,1.68,0
2020-01-11 12:00:00,2020-01-11,12:00,12,22,12,1,25,57,12,8,12,4,142.5,1.71,299
2020-01-11 13:00:00,2020-01-11,13:00,13,12,12,1,3,60,15,8,12,4,150.0,1.8,25
