shift_id,date,shift_time,start_time,end_time,role,scheduled_count,actual_available,max_capacity,on_call_available,cost_per_hour,shortage,notes,staffing_percentage,needs_on_call_activation
SHIFT_0034,2026-01-26,Night,10:00 PM,6:00 AM,Trauma Nurse,15,9,22,7,65,6,Storm impact,60.0,True
SHIFT_0035,2026-01-26,Night,10:00 PM,6:00 AM,Respiratory Therapist,4,2,7,4,55,2,Storm impact,50.0,True
SHIFT_0036,2026-01-26,Night,10:00 PM,6:00 AM,Support Staff,10,6,16,6,35,4,Storm impact,60.0,True
SHIFT_0037,2026-01-27,Morning,6:00 AM,2:00 PM,ER Physician,8,4,12,5,250,4,Storm impact,50.0,True
SHIFT_0038,2026-01-27,Morning,6:00 AM,2:00 PM,Trauma Nurse,15,9,22,7,65,6,Storm impact,60.0,True
SHIFT_0039,2026-01-27,Morning,6:00 AM,2:00 PM,Respiratory Therapist,4,2,7,4,55,2,Storm impact,50.0,True
SHIFT_0040,2026-01-27,Morning,6:00 AM,2:00 PM,Support Staff,10,6,16,6,35,4,Storm impact,60.0,True
SHIFT_0041,2026-01-27,Afternoon,2:00 PM,10:00 PM,ER Physician,8,4,12,5,250,4,Storm impact,50.0,True
SHIFT_0042,2026-01-27,Afternoon,2:00 PM,10:00 PM,Trauma Nurse,15,9,22,7,65,6,Storm impact,60.0,True
SHIFT_0043,2026-01-27,Afternoon,2:00 PM,10:00 PM,Respiratory Therapist,4,2,7,4,55,2,Storm impact,50.0,True
SHIFT_0044,2026-01-27,Afternoon,2:00 PM,10:00 PM,Support Staff,10,6,16,6,35,4,Storm impact,60.0,True
SHIFT_0045,2026-01-27,Night,10:00 PM,6:00 AM,ER Physician,8,4,12,5,250,4,Storm impact,50.0,True
SHIFT_0046,2026-01-27,Night,10:00 PM,6:00 AM,Trauma Nurse,15,9,22,7,65,6,Storm impact,60.0,True
SHIFT_0047,2026-01-27,Night,10:00 PM,6:00 AM,Respiratory Therapist,4,2,7,4,55,2,Storm impact,50.0,True
SHIFT_0048,2026-01-27,Night,10:00 PM,6:00 AM,Support Staff,10,6,16,6,35,4,Storm impact,60.0,True
SHIFT_0049,2026-01-28,Morning,6:00 AM,2:00 PM,ER Physician,8,6,12,3,250,2,Normal operations,75.0,True
SHIFT_0050,2026-01-28,Morning,6:00 AM,2:00 PM,Trauma Nurse,15,12,22,5,65,3,Normal operations,80.0,True
SHIFT_0051,2026-01-28,Morning,6:00 AM,2:00 PM,Respiratory Therapist,4,3,7,2,55,1,Normal operations,75.0,True
SHIFT_0052,2026-01-28,Morning,6:00 AM,2:00 PM,Support Staff,10,8,16,4,35,2,Normal operations,80.0,True
SHIFT_0053,2026-01-28,Afternoon,2:00 PM,10:00 PM,ER Physician,8,6,12,3,250,2,Normal operations,75.0,True
SHIFT_0054,2026-01-28,Afternoon,2:00 PM,10:00 PM,Trauma Nurse,15,12,22,5,65,3,Normal operations,80.0,True
SHIFT_0055,2026-01-28,Afternoon,2:00 PM,10:00 PM,Respiratory Therapist,4,3,7,2,55,1,Normal operations,75.0,True
SHIFT_0056,2026-01-28,Afternoon,2:00 PM,10:00 PM,Support Staff,10,8,16,4,35,2,Normal operations,80.0,True
SHIFT_0057,2026-01-28,Night,10:00 PM,6:00 AM,ER Physician,8,6,12,3,250,2,Normal operations,75.0,True
SHIFT_0058,2026-01-28,Night,10:00 PM,6:00 AM,Trauma Nurse,15,12,22,5,65,3,Normal operations,80.0,True
SHIFT_0059,2026-01-28,Night,10:00 PM,6:00 AM,Respiratory Therapist,4,3,7,2,55,1,Normal operations,75.0,True
SHIFT_0060,2026-01-28,Night,10:00 PM,6:00 AM,Support Staff,10,8,16,4,35,2,Normal operations,80.0,True
